Time,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,P,Q,R,Phi,Theta,Psi,Class
163,5951.207143,5948.270857,6060.549539,6172.828221,6175.764507,6063.485825,-1.020401098,0.027021541,-0.047261608,0.102472773,0.386511115,0.151797133,0
164,5951.324962,5947.534198,6060.1223,6172.710402,6176.501167,6063.913064,-1.007374488,0.026087096,-0.047240955,0.092151705,0.386821313,0.151317202,0
165,5951.428255,5946.812064,6059.709587,6172.607109,6177.2233,6064.325778,-0.992995383,0.025144734,-0.047189121,0.081966195,0.387117557,0.150833315,0
166,5951.518813,5946.102665,6059.309608,6172.516551,6177.932699,6064.725756,-0.977450022,0.024194921,-0.047110436,0.071929067,0.38739977,0.150346082,0
167,5951.598206,5945.404431,6058.920795,6172.437158,6178.630933,6065.11457,-0.960917213,0.023238371,-0.047009054,0.0620513,0.387667906,0.149856068,0
168,5951.667811,5944.715986,6058.54177,6172.367554,6179.319378,6065.493595,-0.943567319,0.022276024,-0.046888933,0.052342112,0.387921943,0.149363793,0
169,5951.728834,5944.036122,6058.171326,6172.30653,6179.999242,6065.864038,-0.925561435,0.021309017,-0.046753813,0.042809045,0.388161885,0.148869735,0
170,5951.782334,5943.363782,6057.808406,6172.253031,6180.671583,6066.226958,-0.907050757,0.020338658,-0.046607202,0.033458067,0.388387764,0.14837433,0
171,5951.829238,5942.698037,6057.452082,6172.206127,6181.337327,6066.583282,-0.888176124,0.019366397,-0.04645237,0.024293665,0.388599635,0.147877969,0
172,5951.870359,5942.038076,6057.101541,6172.165006,6181.997289,6066.933824,-0.869067718,0.018393802,-0.046292334,0.015318961,0.388797575,0.147381006,0
173,5951.90641,5941.383184,6056.756069,6172.128955,6182.652181,6067.279295,-0.849844908,0.017422524,-0.046129861,0.00653581,0.388981687,0.146883755,0
174,5951.938016,5940.732736,6056.415042,6172.097348,6183.302628,6067.620322,-0.830616226,0.016454279,-0.045967467,-0.002055084,0.389152092,0.146386492,0
